Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2019-08-04,18:30,Coppa Italia,First round,Sun,Home,W,2,0,Alessandria,,1995,,,,Marco Ricci,Match Report,,2019-2020,Monza
2019-08-11,20:30,Coppa Italia,Second round,Sun,Away,W,4,3,Benevento,,4940,,,,Antonio Di Martino,Match Report,,2019-2020,Monza
2019-08-18,18:15,Coppa Italia,Third round,Sun,Away,L,1,3,Fiorentina,,15000,,,,Fabrizio Pasqua,Match Report,,2019-2020,Monza
