Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2021-03-21,20:30,La Liga 2,Matchweek 30,Sun,Away,W,3,0,Alcorcón,42.0,,Óscar Trejo,4-2-3-1,3-5-2,Dámaso Arcediano,Match Report,,2020-2021,Rayo Vallecano
2021-03-30,21:30,La Liga 2,Matchweek 32,Tue,Home,L,0,1,Sporting Gijón,60.0,,Óscar Trejo,4-2-3-1,4-2-3-1,Daniel Trujillo,Match Report,,2020-2021,Rayo Vallecano
2021-04-02,21:00,La Liga 2,Matchweek 33,Fri,Away,W,1,0,Almería,43.0,,Santi Comesaña,4-2-3-1,4-2-3-1,Alejandro Muñíz,Match Report,,2020-2021,Rayo Vallecano
2021-04-10,18:15,La Liga 2,Matchweek 34,Sat,Home,W,2,1,Girona,48.0,,Óscar Trejo,4-2-3-1,3-5-2,Juan Pulido,Match Report,,2020-2021,Rayo Vallecano
2021-04-14,19:00,La Liga 2,Matchweek 31,Wed,Home,L,0,1,CD Mirandés,50.0,,Mario Suárez,4-2-3-1,4-2-3-1,Rafael Sánchez,Match Report,,2020-2021,Rayo Vallecano
2021-04-18,14:00,La Liga 2,Matchweek 35,Sun,Away,D,0,0,UD Logroñés,57.0,,Óscar Trejo,4-4-2,4-4-2,Dámaso Arcediano,Match Report,,2020-2021,Rayo Vallecano
2021-04-26,19:00,La Liga 2,Matchweek 36,Mon,Home,D,2,2,Albacete,46.0,,Óscar Trejo,4-2-3-1,4-4-2,Daniel Ocón,Match Report,,2020-2021,Rayo Vallecano
2021-05-03,18:00,La Liga 2,Matchweek 37,Mon,Away,L,0,2,Sabadell,64.0,,Óscar Trejo,4-2-3-1,5-3-2,Oliver De La Fuente,Match Report,,2020-2021,Rayo Vallecano
2021-05-10,19:00,La Liga 2,Matchweek 38,Mon,Home,D,1,1,Leganés,58.0,,Óscar Trejo,4-2-3-1,4-2-3-1,Daniel Trujillo,Match Report,,2020-2021,Rayo Vallecano
2021-05-16,16:00,La Liga 2,Matchweek 39,Sun,Away,W,2,1,Fuenlabrada,70.0,,Óscar Trejo,4-4-2,4-4-2,Luis Milla,Match Report,,2020-2021,Rayo Vallecano
2021-05-20,21:30,La Liga 2,Matchweek 40,Thu,Home,W,4,1,Oviedo,55.0,,Óscar Trejo,4-2-3-1,4-4-2,Iosu Galech,Match Report,,2020-2021,Rayo Vallecano
2021-05-24,21:00,La Liga 2,Matchweek 41,Mon,Away,W,2,0,Castellón,58.0,,Óscar Trejo,4-2-3-1,4-2-3-1,Dámaso Arcediano,Match Report,,2020-2021,Rayo Vallecano
2021-05-30,21:00,La Liga 2,Matchweek 42,Sun,Home,L,0,1,Lugo,77.0,,Óscar Trejo,4-2-3-1,4-1-4-1,Juan Pulido,Match Report,,2020-2021,Rayo Vallecano
2021-06-03,21:00,La Liga 2,Semi-finals,Thu,Home,W,3,0,Leganés,52.0,847.0,Óscar Trejo,4-4-2,4-2-3-1,Luis Milla,Match Report,Leg 1 of 2,2020-2021,Rayo Vallecano
2021-06-06,21:00,La Liga 2,Semi-finals,Sun,Away,W,2,1,Leganés,43.0,1346.0,Óscar Trejo,4-4-2,4-4-2,José López,Match Report,Leg 2 of 2; Rayo Vallecano won,2020-2021,Rayo Vallecano
2021-06-13,21:00,La Liga 2,Final,Sun,Home,L,1,2,Girona,61.0,,Óscar Trejo,4-2-3-1,3-5-2,Juan Pulido,Match Report,Leg 1 of 2,2020-2021,Rayo Vallecano
2021-06-20,21:00,La Liga 2,Final,Sun,Away,W,2,0,Girona,34.0,1429.0,Óscar Trejo,3-4-3,3-5-2,Javier Villanueva,Match Report,Leg 2 of 2; Rayo Vallecano won,2020-2021,Rayo Vallecano
