Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2017-08-05,15:00,Championship,Matchweek 1,Sat,Home,W,1,0,Middlesbrough,48,29692,Conor Coady,3-4-3,4-3-1-2,Darren Bond,Match Report,,2017-2018,Wolves
2017-08-08,19:45,EFL Cup,First round,Tue,Home,W,1,0,Yeovil Town,81,9478,Danny Batth,3-4-3,3-4-3,Rob Lewis,Match Report,,2017-2018,Wolves
2017-08-12,15:00,Championship,Matchweek 2,Sat,Away,W,2,0,Derby County,48,27757,Conor Coady,3-4-3,4-3-3,Lee Probert,Match Report,,2017-2018,Wolves
2017-08-15,19:45,Championship,Matchweek 3,Tue,Away,W,3,2,Hull City,58,17145,Conor Coady,3-4-3,4-4-2,Jeremy Simpson,Match Report,,2017-2018,Wolves
2017-08-19,15:00,Championship,Matchweek 4,Sat,Home,L,1,2,Cardiff City,64,27068,Conor Coady,3-4-3,4-2-3-1,Scott Duncan,Match Report,,2017-2018,Wolves
2017-08-23,19:45,EFL Cup,Second round,Wed,Away,W,2,0,Southampton,42,17931,Danny Batth,3-4-3,4-2-3-1,James Linington,Match Report,,2017-2018,Wolves
2017-08-26,15:00,Championship,Matchweek 5,Sat,Away,D,0,0,Brentford,47,10351,Conor Coady,3-4-3,4-2-3-1,Tim Robinson,Match Report,,2017-2018,Wolves
2017-09-09,15:00,Championship,Matchweek 6,Sat,Home,W,1,0,Millwall,68,24426,Danny Batth,3-4-3,4-4-2,Robert Madley,Match Report,,2017-2018,Wolves
2017-09-12,19:45,Championship,Matchweek 7,Tue,Home,D,3,3,Bristol City,54,23045,Danny Batth,3-4-3,4-4-2,Steve Martin,Match Report,,2017-2018,Wolves
2017-09-16,15:00,Championship,Matchweek 8,Sat,Away,W,2,1,Nott'ham Forest,44,25756,Danny Batth,3-4-3,4-2-3-1,Geoff Eltringham,Match Report,,2017-2018,Wolves
2017-09-19,19:45,EFL Cup,Third round,Tue,Home,W,1,0,Bristol Rovers,55,12740,Danny Batth,3-4-3,4-3-3,Tony Harrington,Match Report,Required Extra Time,2017-2018,Wolves
2017-09-23,15:00,Championship,Matchweek 9,Sat,Home,W,2,1,Barnsley,50,28154,Danny Batth,3-4-3,4-1-4-1,Jeremy Simpson,Match Report,,2017-2018,Wolves
2017-09-27,19:45,Championship,Matchweek 10,Wed,Away,L,0,2,Sheffield Utd,45,25893,Danny Batth,3-4-3,3-5-1-1,Peter Bankes,Match Report,,2017-2018,Wolves
2017-09-30,15:00,Championship,Matchweek 11,Sat,Away,W,4,0,Burton Albion,53,5080,Danny Batth,3-4-3,3-5-2,Tony Harrington,Match Report,,2017-2018,Wolves
