Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-03-29,20:30,Serie B,Matchweek 33,Thu,Home,W,2,0,Salernitana,,4738,Manuel Pasqual,4-3-1-2,4-3-3,Daniele Minelli,Match Report,,2017-2018,Empoli
2018-04-02,12:30,Serie B,Matchweek 29,Mon,Away,W,3,0,Foggia,,12375,Manuel Pasqual,4-3-1-2,3-5-2,Davide Ghersini,Match Report,,2017-2018,Empoli
2018-04-07,15:00,Serie B,Matchweek 34,Sat,Away,D,1,1,Spezia,,6460,Manuel Pasqual,4-3-1-2,4-3-1-2,Aleandro Di Paolo,Match Report,,2017-2018,Empoli
2018-04-14,15:00,Serie B,Matchweek 35,Sat,Home,W,3,2,Pro Vercelli,,5434,Manuel Pasqual,4-3-1-2,3-5-2,Luigi Pillitteri,Match Report,,2017-2018,Empoli
2018-04-17,20:30,Serie B,Matchweek 36,Tue,Away,W,3,2,Cesena,,11269,Manuel Pasqual,4-3-1-2,4-3-3,Francesco Paolo Saia,Match Report,,2017-2018,Empoli
2018-04-23,20:30,Serie B,Matchweek 37,Mon,Away,W,4,2,Frosinone,,13166,Manuel Pasqual,4-3-1-2,3-5-2,Eugenio Abbattista,Match Report,,2017-2018,Empoli
2018-04-28,15:00,Serie B,Matchweek 38,Sat,Home,D,1,1,Novara,,8626,Rade Krunić,4-3-2-1,4-4-2,Lorenzo Illuzzi,Match Report,,2017-2018,Empoli
2018-05-01,15:00,Serie B,Matchweek 39,Tue,Away,D,0,0,Carpi,,1868,Gabriel,4-3-1-2,3-5-1-1,Antonello Balice,Match Report,,2017-2018,Empoli
2018-05-07,20:30,Serie B,Matchweek 40,Mon,Home,D,1,1,Cremonese,,5334,Manuel Pasqual,4-3-1-2,4-3-3,Marco Serra,Match Report,,2017-2018,Empoli
2018-05-12,15:00,Serie B,Matchweek 41,Sat,Away,W,2,0,Brescia,,6999,,4-3-1-2,4-3-3,Antonio Di Martino,Match Report,,2017-2018,Empoli
2018-05-18,20:30,Serie B,Matchweek 42,Fri,Home,W,2,1,Perugia,,9132,Manuel Pasqual,4-3-1-2,3-5-2,Daniele Martinelli,Match Report,,2017-2018,Empoli
