Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2018-03-09,20:00,Ligue 2,Matchweek 29,Fri,Home,W,4,0,Châteauroux,57.0,9293,Danilson da Cruz,4-3-3,5-3-2,Aurélien Petit,Match Report,,2017-2018,Reims
2018-03-17,15:00,Ligue 2,Matchweek 30,Sat,Home,W,3,1,Lens,43.0,220,Julian Jeanvier,4-3-3,4-3-3,Willy Delajod,Match Report,,2017-2018,Reims
2018-03-31,15:00,Ligue 2,Matchweek 31,Sat,Away,W,2,0,Nancy,52.0,12427,Danilson da Cruz,4-3-3,4-3-3,Florent Batta,Match Report,,2017-2018,Reims
2018-04-14,15:00,Ligue 2,Matchweek 33,Sat,Away,W,3,0,Paris FC,42.0,5053,Danilson da Cruz,4-3-3,3-4-3,Bartolomeu Varela,Match Report,,2017-2018,Reims
2018-04-20,20:00,Ligue 2,Matchweek 34,Fri,Home,W,1,0,Ajaccio,49.0,15945,Danilson da Cruz,4-3-3,4-2-3-1,Alexandre Castro,Match Report,,2017-2018,Reims
2018-04-24,20:00,Ligue 2,Matchweek 35,Tue,Away,W,4,1,Auxerre,48.0,5985,Julian Jeanvier,4-3-3,4-2-3-1,Stéphanie Frappart,Match Report,,2017-2018,Reims
2018-04-27,20:00,Ligue 2,Matchweek 36,Fri,Home,W,3,1,Niort,50.0,7947,Danilson da Cruz,4-2-2-2,3-4-3,Aurélien Petit,Match Report,,2017-2018,Reims
2018-04-30,19:00,Ligue 2,Matchweek 32,Mon,Home,L,0,1,Le Havre,56.0,11144,Danilson da Cruz,4-4-2,4-2-3-1,Sylvain Palhies,Match Report,,2017-2018,Reims
2018-05-04,20:45,Ligue 2,Matchweek 37,Fri,Away,W,3,1,Valenciennes,57.0,11013,Edouard Mendy,4-2-3-1,4-1-4-1,Cédric Dos Santos,Match Report,,2017-2018,Reims
2018-05-11,20:45,Ligue 2,Matchweek 38,Fri,Home,D,2,2,Nîmes,48.0,17745,Danilson da Cruz,4-2-3-1,4-4-2,Alexandre Castro,Match Report,,2017-2018,Reims
