Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2020-08-24,20:45,Ligue 2,Matchweek 1,Mon,Away,L,0,2,Troyes,45.0,,Jean-Pascal Fontaine,4-5-1,4-3-3,Antony Gautier,Match Report,,2020-2021,Le Havre
2020-08-29,19:00,Ligue 2,Matchweek 2,Sat,Home,W,1,0,Amiens,47.0,,Victor Lekhal,4-2-3-1,4-2-3-1,Sylvain Palhies,Match Report,,2020-2021,Le Havre
2020-09-12,15:00,Ligue 2,Matchweek 3,Sat,Away,W,3,1,Guingamp,44.0,,Alexandre Bonnet,4-4-2,4-2-3-1,Franck Schneider,Match Report,,2020-2021,Le Havre
2020-09-19,19:00,Ligue 2,Matchweek 4,Sat,Home,L,0,1,Niort,57.0,,Jean-Pascal Fontaine,4-3-3,4-1-4-1,Remi Landry,Match Report,,2020-2021,Le Havre
2020-09-26,19:00,Ligue 2,Matchweek 5,Sat,Away,W,1,0,Nancy,53.0,,Jean-Pascal Fontaine,4-4-2,4-2-3-1,Romain Delpech,Match Report,,2020-2021,Le Havre
2020-10-03,19:00,Ligue 2,Matchweek 6,Sat,Away,L,0,3,Paris FC,55.0,,Jean-Pascal Fontaine,4-2-3-1,4-4-2,Olivier Thual,Match Report,,2020-2021,Le Havre
2020-10-17,19:00,Ligue 2,Matchweek 7,Sat,Home,D,1,1,Châteauroux,52.0,,Jean-Pascal Fontaine,4-4-2,4-2-3-1,Mathieu Vernice,Match Report,,2020-2021,Le Havre
2020-10-24,19:00,Ligue 2,Matchweek 8,Sat,Away,W,1,0,Dunkerque,30.0,,Victor Lekhal,3-4-3,4-3-3,Romain Lissorgue,Match Report,,2020-2021,Le Havre
2020-10-31,19:00,Ligue 2,Matchweek 9,Sat,Home,W,1,0,Pau FC,45.0,,Victor Lekhal,3-4-3,4-3-3,Romain Delpech,Match Report,,2020-2021,Le Havre
2020-11-07,15:00,Ligue 2,Matchweek 10,Sat,Away,L,1,2,Grenoble,49.0,,Alexandre Bonnet,4-2-3-1,4-3-3,Eric Wattellier,Match Report,,2020-2021,Le Havre
2020-11-21,15:00,Ligue 2,Matchweek 11,Sat,Home,L,1,2,Caen,44.0,,Victor Lekhal,3-4-3,4-2-3-1,Stéphanie Frappart,Match Report,,2020-2021,Le Havre
2020-11-28,19:00,Ligue 2,Matchweek 12,Sat,Away,L,0,4,Sochaux,62.0,,Victor Lekhal,4-4-2,4-2-3-1,Mehdi Mokhtari,Match Report,,2020-2021,Le Havre
2020-12-01,19:00,Ligue 2,Matchweek 13,Tue,Home,D,1,1,Auxerre,38.0,,Pierre Gibaud,4-4-2,4-1-4-1,Bartolomeu Varela,Match Report,,2020-2021,Le Havre
