Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2019-03-03,12:00,La Liga 2,Matchweek 28,Sun,Home,D,1,1,Elche,58.0,7335.0,Manolo Reina,4-1-4-1,4-1-4-1,Valentín Pizarro,Match Report,,2018-2019,Mallorca
2019-03-09,16:00,La Liga 2,Matchweek 29,Sat,Home,W,1,0,Oviedo,48.0,8032.0,Manolo Reina,4-3-3,4-1-4-1,Álvaro Moreno,Match Report,,2018-2019,Mallorca
2019-03-17,19:00,La Liga 2,Matchweek 30,Sun,Away,W,2,1,Las Palmas,37.0,14594.0,Manolo Reina,4-2-3-1,4-4-2,Jorge Figueroa,Match Report,,2018-2019,Mallorca
2019-03-25,21:00,La Liga 2,Matchweek 31,Mon,Home,W,3,0,Zaragoza,48.0,7837.0,Manolo Reina,4-2-3-1,4-4-1-1,Oliver De La Fuente,Match Report,,2018-2019,Mallorca
2019-03-31,12:00,La Liga 2,Matchweek 32,Sun,Away,L,2,3,Córdoba,56.0,8148.0,Manolo Reina,4-2-3-1,4-2-3-1,José López,Match Report,,2018-2019,Mallorca
2019-04-07,,La Liga 2,Matchweek 33,Sun,Home,W,1,0,Reus,,,,,,,Match Report,Match awarded to Mallorca,2018-2019,Mallorca
2019-04-14,16:00,La Liga 2,Matchweek 34,Sun,Away,D,1,1,Numancia,51.0,3008.0,Manolo Reina,4-4-2,4-3-3,Valentín Pizarro,Match Report,,2018-2019,Mallorca
2019-04-20,20:00,La Liga 2,Matchweek 35,Sat,Home,W,2,0,Majadahonda,38.0,7649.0,Manolo Reina,4-2-3-1,3-4-1-2,Javier Villanueva,Match Report,,2018-2019,Mallorca
2019-04-27,16:15,La Liga 2,Matchweek 36,Sat,Away,W,1,0,Málaga,44.0,23621.0,Manolo Reina,4-5-1,4-4-1-1,David Pérez,Match Report,,2018-2019,Mallorca
2019-05-05,16:00,La Liga 2,Matchweek 37,Sun,Home,W,2,1,Sporting Gijón,65.0,11302.0,Manolo Reina,4-3-3,4-4-2,Isidro Díaz de Mera,Match Report,,2018-2019,Mallorca
2019-05-11,16:00,La Liga 2,Matchweek 38,Sat,Away,L,1,2,Gimnàstic,52.0,2865.0,Xisco Campos,4-1-4-1,3-5-2,Abraham Domínguez,Match Report,,2018-2019,Mallorca
2019-05-19,12:00,La Liga 2,Matchweek 39,Sun,Home,W,1,0,Almería,53.0,9645.0,Manolo Reina,4-4-2,4-2-3-1,José López,Match Report,,2018-2019,Mallorca
2019-05-27,21:00,La Liga 2,Matchweek 40,Mon,Away,L,0,1,La Coruña,47.0,13480.0,Manolo Reina,4-1-4-1,4-4-2,Aitor Gorostegui,Match Report,,2018-2019,Mallorca
2019-06-04,21:00,La Liga 2,Matchweek 41,Tue,Home,D,1,1,Granada,55.0,13839.0,Manolo Reina,4-1-4-1,4-2-3-1,Dámaso Arcediano,Match Report,,2018-2019,Mallorca
2019-06-08,20:30,La Liga 2,Matchweek 42,Sat,Away,D,0,0,Extremadura,42.0,9732.0,Xisco Campos,4-4-2,4-4-2,Saúl Ais,Match Report,,2018-2019,Mallorca
2019-06-13,21:00,La Liga 2,Semi-finals,Thu,Home,W,2,0,Albacete,43.0,15103.0,Manolo Reina,4-1-4-1,4-4-2,Juan Pulido,Match Report,Leg 1 of 2,2018-2019,Mallorca
2019-06-16,19:00,La Liga 2,Semi-finals,Sun,Away,L,0,1,Albacete,48.0,13306.0,Manolo Reina,4-1-4-1,4-4-2,Jorge Figueroa,Match Report,Leg 2 of 2; Mallorca won,2018-2019,Mallorca
2019-06-20,21:00,La Liga 2,Final,Thu,Away,L,0,2,La Coruña,40.0,29271.0,Manolo Reina,4-2-3-1,4-4-2,Daniel Trujillo,Match Report,Leg 1 of 2,2018-2019,Mallorca
2019-06-23,21:00,La Liga 2,Final,Sun,Home,W,3,0,La Coruña,57.0,21210.0,Manolo Reina,4-3-3,4-2-3-1,Valentín Pizarro,Match Report,Leg 2 of 2; Mallorca won,2018-2019,Mallorca
