Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Season,Team_Scraping
2023-04-10,21:00,La Liga 2,Matchweek 35,Mon,Home,D,0,0,FC Andorra,28.0,12311,Rubén Duarte,4-2-3-1,4-3-3,Saúl Ais,Match Report,,2022-2023,Alaves
2023-04-16,16:15,La Liga 2,Matchweek 36,Sun,Away,D,0,0,Sporting Gijón,49.0,18476,Víctor Laguardia,4-2-3-1,3-5-2,Alejandro Quintero,Match Report,,2022-2023,Alaves
2023-04-23,21:00,La Liga 2,Matchweek 37,Sun,Home,W,2,1,Leganés,53.0,12218,Víctor Laguardia,4-3-3,4-2-3-1,Iosu Galech,Match Report,,2022-2023,Alaves
2023-04-29,16:15,La Liga 2,Matchweek 38,Sat,Away,L,0,2,Levante,52.0,20297,Rubén Duarte,4-2-3-1,4-2-2-2,Mateo Busquets,Match Report,,2022-2023,Alaves
2023-05-05,21:00,La Liga 2,Matchweek 39,Fri,Home,D,1,1,Granada,51.0,19202,Rubén Duarte,4-4-2,4-4-2,Iván Caparrós,Match Report,,2022-2023,Alaves
2023-05-14,18:30,La Liga 2,Matchweek 40,Sun,Away,D,1,1,Albacete,56.0,15633,Luis Rioja,4-2-3-1,4-2-2-2,José López,Match Report,,2022-2023,Alaves
2023-05-20,18:30,La Liga 2,Matchweek 41,Sat,Home,W,2,1,Málaga,45.0,19450,Rubén Duarte,4-3-3,3-4-3,Daniel Trujillo,Match Report,,2022-2023,Alaves
2023-05-27,20:00,La Liga 2,Matchweek 42,Sat,Away,D,0,0,Las Palmas,37.0,31790,Rubén Duarte,4-2-3-1,4-5-1,Víctor García Verdura,Match Report,,2022-2023,Alaves
2023-06-03,18:30,La Liga 2,Semi-finals,Sat,Away,D,1,1,Eibar,51.0,7300,Rubén Duarte,4-3-3,4-2-3-1,David Gálvez,Match Report,Leg 1 of 2,2022-2023,Alaves
2023-06-08,21:00,La Liga 2,Semi-finals,Thu,Home,W,2,0,Eibar,38.0,19060,Rubén Duarte,4-2-3-1,4-2-3-1,Adrián Cordero,Match Report,Leg 2 of 2; Alavés won,2022-2023,Alaves
2023-06-11,21:00,La Liga 2,Final,Sun,Home,D,0,0,Levante,55.0,19369,Rubén Duarte,4-3-3,4-4-2,Víctor García Verdura,Match Report,Leg 1 of 2,2022-2023,Alaves
2023-06-17,21:00,La Liga 2,Final,Sat,Away,W,1,0,Levante,49.0,22919,Rubén Duarte,4-4-2,4-4-2,Francisco Hernández,Match Report,Leg 2 of 2; Alavés won; Required Extra Time,2022-2023,Alaves
