Club_Name,Season,League
Alaves,2021-2022,La Liga
Angers,2021-2022,Ligue 1
Arsenal,2021-2022,Premier League
Aston Villa,2021-2022,Premier League
Atalanta,2021-2022,Serie A
Athletic Club,2021-2022,La Liga
Atletico Madrid,2021-2022,La Liga
Augsburg,2021-2022,Bundesliga
Auxerre,2021-2022,Ligue 2
Barcelona,2021-2022,La Liga
Bayern Munich,2021-2022,Bundesliga
Betis,2021-2022,La Liga
Bochum,2021-2022,Bundesliga
Bologna,2021-2022,Serie A
Bournemouth,2021-2022,Championship
Brentford,2021-2022,Premier League
Brest,2021-2022,Ligue 1
Brighton,2021-2022,Premier League
Cagliari,2021-2022,Serie A
Celta Vigo,2021-2022,La Liga
Chelsea,2021-2022,Premier League
Como,2021-2022,Serie B
Crystal Palace,2021-2022,Premier League
Dortmund,2021-2022,Bundesliga
Eint Frankfurt,2021-2022,Bundesliga
Empoli,2021-2022,Serie A
Espanyol,2021-2022,La Liga
Everton,2021-2022,Premier League
Fiorentina,2021-2022,Serie A
Freiburg,2021-2022,Bundesliga
Fulham,2021-2022,Championship
Genoa,2021-2022,Serie A
Getafe,2021-2022,La Liga
Girona,2021-2022,La Liga 2
Gladbach,2021-2022,Bundesliga
Heidenheim,2021-2022,2. Bundesliga
Hellas Verona,2021-2022,Serie A
Hoffenheim,2021-2022,Bundesliga
Holstein Kiel,2021-2022,2. Bundesliga
Inter,2021-2022,Serie A
Ipswich Town,2021-2022,League One
Juventus,2021-2022,Serie A
Las Palmas,2021-2022,La Liga 2
Lazio,2021-2022,Serie A
Le Havre,2021-2022,Ligue 2
Lecce,2021-2022,Serie B
Leganes,2021-2022,La Liga 2
Leicester City,2021-2022,Premier League
Lens,2021-2022,Ligue 1
Leverkusen,2021-2022,Bundesliga
Lille,2021-2022,Ligue 1
Liverpool,2021-2022,Premier League
Lyon,2021-2022,Ligue 1
Mainz 05,2021-2022,Bundesliga
Mallorca,2021-2022,La Liga
Manchester City,2021-2022,Premier League
Manchester Utd,2021-2022,Premier League
Marseille,2021-2022,Ligue 1
Milan,2021-2022,Serie A
Monaco,2021-2022,Ligue 1
Montpellier,2021-2022,Ligue 1
Monza,2021-2022,Serie B
Nantes,2021-2022,Ligue 1
Napoli,2021-2022,Serie A
Newcastle Utd,2021-2022,Premier League
Nice,2021-2022,Ligue 1
Nott'ham Forest,2021-2022,Championship
Osasuna,2021-2022,La Liga
Paris S-G,2021-2022,Ligue 1
Parma,2021-2022,Serie B
RB Leipzig,2021-2022,Bundesliga
Rayo Vallecano,2021-2022,La Liga
Real Madrid,2021-2022,La Liga
Real Sociedad,2021-2022,La Liga
Reims,2021-2022,Ligue 1
Rennes,2021-2022,Ligue 1
Roma,2021-2022,Serie A
Saint-Etienne,2021-2022,Ligue 1
Sevilla,2021-2022,La Liga
Southampton,2021-2022,Premier League
St. Pauli,2021-2022,2. Bundesliga
Strasbourg,2021-2022,Ligue 1
Stuttgart,2021-2022,Bundesliga
Torino,2021-2022,Serie A
Tottenham,2021-2022,Premier League
Toulouse,2021-2022,Ligue 2
Udinese,2021-2022,Serie A
Union Berlin,2021-2022,Bundesliga
Valencia,2021-2022,La Liga
Valladolid,2021-2022,La Liga 2
Venezia,2021-2022,Serie A
Villarreal,2021-2022,La Liga
Werder Bremen,2021-2022,2. Bundesliga
West Ham,2021-2022,Premier League
Wolfsburg,2021-2022,Bundesliga
Wolves,2021-2022,Premier League
