Club_Name,Season,League
Alaves,2017-2018,La Liga
Angers,2017-2018,Ligue 1
Arsenal,2017-2018,Premier League
Aston Villa,2017-2018,Championship
Atalanta,2017-2018,Serie A
Athletic Club,2017-2018,La Liga
Atletico Madrid,2017-2018,La Liga
Augsburg,2017-2018,Bundesliga
Auxerre,2017-2018,Ligue 2
Barcelona,2017-2018,La Liga
Bayern Munich,2017-2018,Bundesliga
Betis,2017-2018,La Liga
Bochum,2017-2018,2. Bundesliga
Bologna,2017-2018,Serie A
Bournemouth,2017-2018,Premier League
Brentford,2017-2018,Championship
Brest,2017-2018,Ligue 2
Brighton,2017-2018,Premier League
Cagliari,2017-2018,Serie A
Celta Vigo,2017-2018,La Liga
Chelsea,2017-2018,Premier League
Crystal Palace,2017-2018,Premier League
Dortmund,2017-2018,Bundesliga
Eint Frankfurt,2017-2018,Bundesliga
Empoli,2017-2018,Serie B
Espanyol,2017-2018,La Liga
Everton,2017-2018,Premier League
Fiorentina,2017-2018,Serie A
Freiburg,2017-2018,Bundesliga
Fulham,2017-2018,Championship
Genoa,2017-2018,Serie A
Getafe,2017-2018,La Liga
Girona,2017-2018,La Liga
Gladbach,2017-2018,Bundesliga
Heidenheim,2017-2018,2. Bundesliga
Hellas Verona,2017-2018,Serie A
Hoffenheim,2017-2018,Bundesliga
Holstein Kiel,2017-2018,2. Bundesliga
Inter,2017-2018,Serie A
Ipswich Town,2017-2018,Championship
Juventus,2017-2018,Serie A
Las Palmas,2017-2018,La Liga
Lazio,2017-2018,Serie A
Le Havre,2017-2018,Ligue 2
Lecce,2017-2018,Coppa Italia
Leganes,2017-2018,La Liga
Leicester City,2017-2018,Premier League
Lens,2017-2018,Ligue 2
Leverkusen,2017-2018,Bundesliga
Lille,2017-2018,Ligue 1
Liverpool,2017-2018,Premier League
Lyon,2017-2018,Ligue 1
Mainz 05,2017-2018,Bundesliga
Mallorca,2017-2018,Copa del Rey
Manchester City,2017-2018,Premier League
Manchester Utd,2017-2018,Premier League
Marseille,2017-2018,Ligue 1
Milan,2017-2018,Serie A
Monaco,2017-2018,Ligue 1
Montpellier,2017-2018,Ligue 1
Nantes,2017-2018,Ligue 1
Napoli,2017-2018,Serie A
Newcastle Utd,2017-2018,Premier League
Nice,2017-2018,Ligue 1
Nott'ham Forest,2017-2018,Championship
Osasuna,2017-2018,La Liga 2
Paris S-G,2017-2018,Ligue 1
Parma,2017-2018,Serie B
RB Leipzig,2017-2018,Bundesliga
Rayo Vallecano,2017-2018,La Liga 2
Real Madrid,2017-2018,La Liga
Real Sociedad,2017-2018,La Liga
Reims,2017-2018,Ligue 2
Rennes,2017-2018,Ligue 1
Roma,2017-2018,Serie A
Saint-Etienne,2017-2018,Ligue 1
Sevilla,2017-2018,La Liga
Southampton,2017-2018,Premier League
St. Pauli,2017-2018,2. Bundesliga
Strasbourg,2017-2018,Ligue 1
Stuttgart,2017-2018,Bundesliga
Torino,2017-2018,Serie A
Tottenham,2017-2018,Premier League
Toulouse,2017-2018,Ligue 1
Udinese,2017-2018,Serie A
Union Berlin,2017-2018,2. Bundesliga
Valencia,2017-2018,La Liga
Valladolid,2017-2018,La Liga 2
Venezia,2017-2018,Serie B
Villarreal,2017-2018,La Liga
Werder Bremen,2017-2018,Bundesliga
West Ham,2017-2018,Premier League
Wolfsburg,2017-2018,Bundesliga
Wolves,2017-2018,Championship
