Club_Name,Season,League
Alaves,2020-2021,La Liga
Angers,2020-2021,Ligue 1
Arsenal,2020-2021,Premier League
Aston Villa,2020-2021,Premier League
Atalanta,2020-2021,Serie A
Athletic Club,2020-2021,La Liga
Atletico Madrid,2020-2021,La Liga
Augsburg,2020-2021,Bundesliga
Auxerre,2020-2021,Ligue 2
Barcelona,2020-2021,La Liga
Bayern Munich,2020-2021,Bundesliga
Betis,2020-2021,La Liga
Bochum,2020-2021,2. Bundesliga
Bologna,2020-2021,Serie A
Bournemouth,2020-2021,Championship
Brentford,2020-2021,Championship
Brest,2020-2021,Ligue 1
Brighton,2020-2021,Premier League
Cagliari,2020-2021,Serie A
Celta Vigo,2020-2021,La Liga
Chelsea,2020-2021,Premier League
Crystal Palace,2020-2021,Premier League
Dortmund,2020-2021,Bundesliga
Eint Frankfurt,2020-2021,Bundesliga
Empoli,2020-2021,Serie B
Espanyol,2020-2021,La Liga 2
Everton,2020-2021,Premier League
Fiorentina,2020-2021,Serie A
Freiburg,2020-2021,Bundesliga
Fulham,2020-2021,Premier League
Genoa,2020-2021,Serie A
Getafe,2020-2021,La Liga
Girona,2020-2021,La Liga 2
Gladbach,2020-2021,Bundesliga
Heidenheim,2020-2021,2. Bundesliga
Hellas Verona,2020-2021,Serie A
Hoffenheim,2020-2021,Bundesliga
Holstein Kiel,2020-2021,2. Bundesliga
Inter,2020-2021,Serie A
Ipswich Town,2020-2021,League One
Juventus,2020-2021,Serie A
Las Palmas,2020-2021,La Liga 2
Lazio,2020-2021,Serie A
Le Havre,2020-2021,Ligue 2
Lecce,2020-2021,Serie B
Leganes,2020-2021,La Liga 2
Leicester City,2020-2021,Premier League
Lens,2020-2021,Ligue 1
Leverkusen,2020-2021,Bundesliga
Lille,2020-2021,Ligue 1
Liverpool,2020-2021,Premier League
Lyon,2020-2021,Ligue 1
Mainz 05,2020-2021,Bundesliga
Mallorca,2020-2021,La Liga 2
Manchester City,2020-2021,Premier League
Manchester Utd,2020-2021,Premier League
Marseille,2020-2021,Ligue 1
Milan,2020-2021,Serie A
Monaco,2020-2021,Ligue 1
Montpellier,2020-2021,Ligue 1
Monza,2020-2021,Serie B
Nantes,2020-2021,Ligue 1
Napoli,2020-2021,Serie A
Newcastle Utd,2020-2021,Premier League
Nice,2020-2021,Ligue 1
Nott'ham Forest,2020-2021,Championship
Osasuna,2020-2021,La Liga
Paris S-G,2020-2021,Ligue 1
Parma,2020-2021,Serie A
RB Leipzig,2020-2021,Bundesliga
Rayo Vallecano,2020-2021,La Liga 2
Real Madrid,2020-2021,La Liga
Real Sociedad,2020-2021,La Liga
Reims,2020-2021,Ligue 1
Rennes,2020-2021,Ligue 1
Roma,2020-2021,Serie A
Saint-Etienne,2020-2021,Ligue 1
Sevilla,2020-2021,La Liga
Southampton,2020-2021,Premier League
St. Pauli,2020-2021,2. Bundesliga
Strasbourg,2020-2021,Ligue 1
Stuttgart,2020-2021,Bundesliga
Torino,2020-2021,Serie A
Tottenham,2020-2021,Premier League
Toulouse,2020-2021,Ligue 2
Udinese,2020-2021,Serie A
Union Berlin,2020-2021,Bundesliga
Valencia,2020-2021,La Liga
Valladolid,2020-2021,La Liga
Venezia,2020-2021,Serie B
Villarreal,2020-2021,La Liga
Werder Bremen,2020-2021,Bundesliga
West Ham,2020-2021,Premier League
Wolfsburg,2020-2021,Bundesliga
Wolves,2020-2021,Premier League
