Club_Name,Season,League
Alaves,2024-2025,La Liga
Angers,2024-2025,Ligue 1
Arsenal,2024-2025,Premier League
Aston Villa,2024-2025,Premier League
Atalanta,2024-2025,Serie A
Athletic Club,2024-2025,La Liga
Atletico Madrid,2024-2025,La Liga
Augsburg,2024-2025,Bundesliga
Auxerre,2024-2025,Ligue 1
Barcelona,2024-2025,La Liga
Bayern Munich,2024-2025,Bundesliga
Betis,2024-2025,La Liga
Bochum,2024-2025,Bundesliga
Bologna,2024-2025,Serie A
Bournemouth,2024-2025,Premier League
Brentford,2024-2025,Premier League
Brest,2024-2025,Ligue 1
Brighton,2024-2025,Premier League
Cagliari,2024-2025,Serie A
Celta Vigo,2024-2025,La Liga
Chelsea,2024-2025,Premier League
Como,2024-2025,Serie A
Crystal Palace,2024-2025,Premier League
Dortmund,2024-2025,Bundesliga
Eint Frankfurt,2024-2025,Bundesliga
Empoli,2024-2025,Serie A
Espanyol,2024-2025,La Liga
Everton,2024-2025,Premier League
Fiorentina,2024-2025,Serie A
Freiburg,2024-2025,Bundesliga
Fulham,2024-2025,Premier League
Genoa,2024-2025,Serie A
Getafe,2024-2025,La Liga
Girona,2024-2025,La Liga
Gladbach,2024-2025,Bundesliga
Heidenheim,2024-2025,Bundesliga
Hellas Verona,2024-2025,Serie A
Hoffenheim,2024-2025,Bundesliga
Holstein Kiel,2024-2025,Bundesliga
Inter,2024-2025,Serie A
Ipswich Town,2024-2025,Premier League
Juventus,2024-2025,Serie A
Las Palmas,2024-2025,La Liga
Lazio,2024-2025,Serie A
Le Havre,2024-2025,Ligue 1
Lecce,2024-2025,Serie A
Leganes,2024-2025,La Liga
Leicester City,2024-2025,Premier League
Lens,2024-2025,Ligue 1
Leverkusen,2024-2025,Bundesliga
Lille,2024-2025,Ligue 1
Liverpool,2024-2025,Premier League
Lyon,2024-2025,Ligue 1
Mainz 05,2024-2025,Bundesliga
Mallorca,2024-2025,La Liga
Manchester City,2024-2025,Premier League
Manchester Utd,2024-2025,Premier League
Marseille,2024-2025,Ligue 1
Milan,2024-2025,Serie A
Monaco,2024-2025,Ligue 1
Montpellier,2024-2025,Ligue 1
Monza,2024-2025,Serie A
Nantes,2024-2025,Ligue 1
Napoli,2024-2025,Serie A
Newcastle Utd,2024-2025,Premier League
Nice,2024-2025,Ligue 1
Nott'ham Forest,2024-2025,Premier League
Osasuna,2024-2025,La Liga
Paris S-G,2024-2025,Ligue 1
Parma,2024-2025,Serie A
RB Leipzig,2024-2025,Bundesliga
Rayo Vallecano,2024-2025,La Liga
Real Madrid,2024-2025,La Liga
Real Sociedad,2024-2025,La Liga
Reims,2024-2025,Ligue 1
Rennes,2024-2025,Ligue 1
Roma,2024-2025,Serie A
Saint-Etienne,2024-2025,Ligue 1
Sevilla,2024-2025,La Liga
Southampton,2024-2025,Premier League
St. Pauli,2024-2025,Bundesliga
Strasbourg,2024-2025,Ligue 1
Stuttgart,2024-2025,Bundesliga
Torino,2024-2025,Serie A
Tottenham,2024-2025,Premier League
Toulouse,2024-2025,Ligue 1
Udinese,2024-2025,Serie A
Union Berlin,2024-2025,Bundesliga
Valencia,2024-2025,La Liga
Valladolid,2024-2025,La Liga
Venezia,2024-2025,Serie A
Villarreal,2024-2025,La Liga
Werder Bremen,2024-2025,Bundesliga
West Ham,2024-2025,Premier League
Wolfsburg,2024-2025,Bundesliga
Wolves,2024-2025,Premier League
