Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Aleksandar Trajkovski,mk MKD,"MF,FW",27,11,4,346.0,3.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.26,0.26,0.52,0.26,0.52,Matches,2020-2021,Mallorca
Luka Romero,ar ARG,MF,15,8,1,214.0,2.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.42,0.42,Matches,2020-2021,Mallorca
Fran González,es ESP,DF,21,1,1,104.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Mallorca
Koke Vegas,es ESP,GK,24,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Mallorca
Ivan Bravo,es ESP,DF,19,1,1,84.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Mallorca
Stoichkov,es ESP,FW,26,3,1,70.0,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,1.29,0.0,1.29,Matches,2020-2021,Mallorca
Ibrahim Diabaté,ci CIV,FW,20,2,0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Mallorca
Ante Budimir,hr CRO,FW,29,1,0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Mallorca
Rafel Obrador,es ESP,DF,16,0,0,,,,,,,,,,,,,,,,Matches,2020-2021,Mallorca
Pere Joan,es ESP,GK,18,0,0,,,,,,,,,,,,,,,,Matches,2020-2021,Mallorca
Leo Román,es ESP,GK,20,0,0,,,,,,,,,,,,,,,,Matches,2020-2021,Mallorca
Josep Antoni Gayá,es ESP,DF,20,0,0,,,,,,,,,,,,,,,,Matches,2020-2021,Mallorca
