Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Michael Santos,uy URU,"FW,MF",25,16,5,557.0,6.2,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,2.1,2.1,0.6,2.7,13.0,10.0,46.0,0.16,0.48,0.65,0.16,0.65,0.34,0.1,0.44,0.34,0.44,Matches,2018-2019,Leganes
Vasyl Kravets,ua UKR,"DF,FW",20,7,7,555.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.9,1.1,8.0,17.0,41.0,0.0,0.0,0.0,0.0,0.0,0.02,0.18,0.2,0.02,0.2,Matches,2018-2019,Leganes
Sabin Merino,es ESP,"FW,MF",26,15,5,554.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.1,1.5,3.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.45,0.02,0.47,0.45,0.47,Matches,2018-2019,Leganes
Andriy Lunin,ua UKR,GK,19,7,6,545.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Leganes
Raúl García,es ESP,DF,29,6,5,471.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,2018-2019,Leganes
Diego Rolán,uy URU,"MF,FW",25,8,4,372.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,9.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.03,0.11,0.13,0.03,0.13,Matches,2018-2019,Leganes
Diego Reyes,mx MEX,DF,25,6,4,320.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,2018-2019,Leganes
Ezequiel Muñoz,ar ARG,DF,27,3,2,211.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,2018-2019,Leganes
Dani Ojeda,es ESP,"MF,DF",23,5,2,193.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.5,1.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.17,0.05,0.23,0.17,0.23,Matches,2018-2019,Leganes
José Arnaiz,es ESP,"MF,FW",23,8,0,154.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,4.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.1,Matches,2018-2019,Leganes
Alexander,ar ARG,FW,29,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Leganes
Javier Avilés,es ESP,FW,20,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2018-2019,Leganes
Andrés Prieto,es ESP,GK,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,Leganes
Jon Ander Serantes,es ESP,GK,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,Leganes
David Tejero,es ESP,GK,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,Leganes
