Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Luke Woolfenden,eng ENG,DF,20,33,33,2970.0,33.0,1.0,2.0,3.0,1.0,0.0,0.0,8.0,0.0,0.03,0.06,0.09,0.03,0.09,Matches,2019-2020,Ipswich Town
Luke Chambers,eng ENG,DF,33,32,32,2877.0,32.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,0.03,0.03,0.06,0.03,0.06,Matches,2019-2020,Ipswich Town
Flynn Downes,eng ENG,MF,20,32,31,2696.0,30.0,2.0,2.0,4.0,2.0,0.0,0.0,12.0,0.0,0.07,0.07,0.13,0.07,0.13,Matches,2019-2020,Ipswich Town
Kayden Jackson,eng ENG,FW,25,35,29,2630.0,29.2,11.0,7.0,18.0,11.0,0.0,1.0,4.0,1.0,0.38,0.24,0.62,0.38,0.62,Matches,2019-2020,Ipswich Town
Luke Garbutt,eng ENG,"MF,DF",26,30,29,2502.0,27.8,6.0,3.0,9.0,5.0,1.0,1.0,3.0,0.0,0.22,0.11,0.32,0.18,0.29,Matches,2019-2020,Ipswich Town
Cole Skuse,eng ENG,"MF,DF",33,30,26,2297.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Ipswich Town
James Wilson,wls WAL,DF,30,27,25,2287.0,25.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Ipswich Town
Alan Judge,ie IRL,"MF,FW",30,34,25,2283.0,25.4,4.0,5.0,9.0,4.0,0.0,0.0,4.0,0.0,0.16,0.2,0.35,0.16,0.35,Matches,2019-2020,Ipswich Town
Gwion Edwards,wls WAL,MF,26,31,24,2110.0,23.4,2.0,1.0,3.0,2.0,0.0,0.0,10.0,0.0,0.09,0.04,0.13,0.09,0.13,Matches,2019-2020,Ipswich Town
Tomáš Holý,cz CZE,GK,27,23,23,2070.0,23.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,2019-2020,Ipswich Town
