Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Dénys Bain,fr FRA,DF,24,37,36,3311.0,36.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.03,0.03,0.05,0.03,0.05,Matches,2017-2018,Le Havre
Zinedine Ferhat,dz ALG,MF,24,37,36,3294.0,36.6,5.0,20.0,25.0,5.0,0.0,0.0,8.0,0.0,0.14,0.55,0.68,0.14,0.68,Matches,2017-2018,Le Havre
Jean-Pascal Fontaine,fr FRA,MF,28,39,35,3264.0,36.3,7.0,8.0,15.0,7.0,0.0,0.0,5.0,0.0,0.19,0.22,0.41,0.19,0.41,Matches,2017-2018,Le Havre
Harold Moukoudi,cm CMR,DF,19,36,36,3184.0,35.4,4.0,1.0,5.0,4.0,0.0,0.0,5.0,0.0,0.11,0.03,0.14,0.11,0.14,Matches,2017-2018,Le Havre
Alexandre Bonnet,fr FRA,MF,30,38,37,3150.0,35.0,3.0,6.0,9.0,3.0,0.0,0.0,2.0,0.0,0.09,0.17,0.26,0.09,0.26,Matches,2017-2018,Le Havre
Victor Lekhal,dz ALG,MF,23,34,32,2866.0,31.8,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,2017-2018,Le Havre
Jean-Philippe Mateta,fr FRA,FW,20,36,31,2787.0,31.0,18.0,0.0,18.0,16.0,2.0,2.0,1.0,0.0,0.58,0.0,0.58,0.52,0.52,Matches,2017-2018,Le Havre
Yohann Thuram-Ulien,fr FRA,GK,28,29,29,2670.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Le Havre
Barnabás Bese,hu HUN,DF,23,30,28,2547.0,28.3,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.04,0.11,0.14,0.04,0.14,Matches,2017-2018,Le Havre
Yacouba Coulibaly,bf BFA,DF,22,26,24,2232.0,24.8,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Le Havre
Amos Youga,cf CTA,MF,24,30,25,2178.0,24.2,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,2017-2018,Le Havre
Samba Camara,ml MLI,DF,24,21,20,1766.0,19.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,2017-2018,Le Havre
Ebenezer Assifuah,gh GHA,"MF,FW",24,29,20,1690.0,18.8,5.0,0.0,5.0,5.0,0.0,0.0,3.0,0.0,0.27,0.0,0.27,0.27,0.27,Matches,2017-2018,Le Havre
Baba Traore,fr FRA,DF,24,15,14,1336.0,14.8,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,2017-2018,Le Havre
Arnaud Balijon,fr FRA,GK,34,12,12,1080.0,12.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17,0.17,0.0,0.17,Matches,2017-2018,Le Havre
Alimani Gory,ml MLI,MF,20,23,6,780.0,8.7,4.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.46,0.0,0.46,0.46,0.46,Matches,2017-2018,Le Havre
Nathaël Julan,fr FRA,FW,21,17,6,685.0,7.6,5.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.66,0.0,0.66,0.66,0.66,Matches,2017-2018,Le Havre
Özer Özdemir,,DF,19,6,5,521.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Le Havre
Rafik Guitane,fr FRA,MF,18,18,2,461.0,5.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.39,0.0,0.39,0.39,0.39,Matches,2017-2018,Le Havre
Thomas Ayasse,fr FRA,MF,30,12,4,445.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Le Havre
Dylan Louiserre,fr FRA,MF,22,5,4,368.0,4.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.24,0.0,0.24,0.24,0.24,Matches,2017-2018,Le Havre
Faneva Imà Andriatsima,mg MAD,FW,33,10,4,330.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Le Havre
Abdoulaye Keita,ml MLI,DF,23,3,2,158.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Le Havre
Teddy Okou,fr FRA,"FW,MF",19,2,2,148.0,1.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.61,0.0,0.61,Matches,2017-2018,Le Havre
Mana Dembélé,ml MLI,FW,28,6,1,124.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Le Havre
Bevic Moussiti-Oko,cg CGO,FW,22,6,0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Le Havre
Alan Dzabana,fr FRA,FW,20,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Le Havre
Pape Gueye,sn SEN,MF,18,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Le Havre
Christ Tiéhi,ci CIV,MF,19,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Le Havre
Oumar Sissoko,ml MLI,GK,29,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Le Havre
Alexandre Marfaing,fr FRA,GK,21,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Le Havre
Yahia Fofana,ci CIV,GK,16,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Le Havre
Bradley Danger,fr FRA,"DF,MF",19,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Le Havre
Bryan Passi,cg CGO,"DF,MF",19,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Le Havre
Mazire Soula,fr FRA,FW,19,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Le Havre
