Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Ismaily,br BRA,DF,35-136,22,14,1275.0,14.2,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,1.3,2.3,20.0,62.0,67.0,0.07,0.14,0.21,0.07,0.21,0.08,0.1,0.18,0.08,0.18,Matches,2024-2025,Lille
Angel Gomes,eng ENG,MF,24-269,18,13,895.0,9.9,2.0,1.0,3.0,2.0,0.0,1.0,3.0,1.0,1.7,0.9,2.4,3.3,15.0,54.0,52.0,0.2,0.1,0.3,0.2,0.3,0.17,0.24,0.41,0.09,0.33,Matches,2024-2025,Lille
Chuba Akpom,eng ENG,FW,29-230,16,6,721.0,8.0,3.0,1.0,4.0,2.0,1.0,2.0,0.0,0.0,5.2,3.6,0.5,4.1,7.0,7.0,41.0,0.37,0.12,0.5,0.25,0.37,0.7,0.07,0.78,0.49,0.56,Matches,2024-2025,Lille
Tiago Santos,pt POR,DF,22-308,9,5,521.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.6,1.0,28.0,22.0,47.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.18,0.07,0.18,Matches,2024-2025,Lille
Mohamed Lamine Bayo,gn GUI,FW,26-357,15,6,446.0,5.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.3,2.3,0.6,2.9,6.0,7.0,30.0,0.4,0.2,0.61,0.4,0.61,0.47,0.12,0.58,0.47,0.58,Matches,2024-2025,Lille
Ethan Mbappé,fr FRA,"FW,MF",18-149,13,2,358.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.2,1.2,1.5,2.7,12.0,10.0,38.0,0.0,0.0,0.0,0.0,0.0,0.37,0.45,0.81,0.37,0.81,Matches,2024-2025,Lille
Nabil Bentaleb,dz ALG,MF,30-184,10,3,329.0,3.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.8,2.0,23.0,5.0,0.27,0.0,0.27,0.27,0.27,0.2,0.01,0.21,0.2,0.21,Matches,2024-2025,Lille
Vito Mannone,it ITA,GK,37-086,3,3,300.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2024-2025,Lille
Ousmane Toure,fr FRA,DF,20-098,2,1,51.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Lille
Younes Lachaab,fr FRA,MF,20-141,3,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.85,0.85,0.85,Matches,2024-2025,Lille
Aaron Malouda,fr FRA,FW,19-178,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Lille
Rafael Fernandes,pt POR,DF,22-333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Lille
Vincent Burlet,be BEL,DF,19-246,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Lille
Soriba Diaoune,fr FRA,FW,17-286,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Lille
Andrej Ilic,rs SRB,FW,25-054,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Lille
Akim Zedadka,dz ALG,DF,29-362,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Lille
Samuel Umtiti,fr FRA,DF,31-194,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Lille
Lilian Baret,fr FRA,DF,19-002,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Lille
Isaac Cossier,fr FRA,DF,18-178,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Lille
Morgan Costarelli,fr FRA,DF,20-029,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Lille
Marc-Aurèle Caillard,fr FRA,GK,31-015,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Lille
