Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Iker Recio,es ESP,DF,19,2,1,107.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Rayo Vallecano
Manuel Navarro,es ESP,MF,19,2,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Rayo Vallecano
Marc,es ESP,FW,21,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Rayo Vallecano
Sergio Moreno,es ESP,FW,21,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Rayo Vallecano
Roberto González,es ESP,GK,21,0,0,,,,,,,,,,,,,,,,Matches,2020-2021,Rayo Vallecano
Daniel Moreno,es ESP,FW,19,0,0,,,,,,,,,,,,,,,,Matches,2020-2021,Rayo Vallecano
Sergio Arratia,es ESP,DF,20,0,0,,,,,,,,,,,,,,,,Matches,2020-2021,Rayo Vallecano
Sergio Benito,es ESP,FW,21,0,0,,,,,,,,,,,,,,,,Matches,2020-2021,Rayo Vallecano
Lass Bangoura,gn GUI,"FW,MF",28,0,0,,,,,,,,,,,,,,,,Matches,2020-2021,Rayo Vallecano
Abdoulaye Ba,sn SEN,DF,29,0,0,,,,,,,,,,,,,,,,Matches,2020-2021,Rayo Vallecano
