Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Jake Doyle-Hayes,ie IRL,MF,18,2,2,167.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Aston Villa
Rushian Hepburn-Murphy,eng ENG,FW,18,5,0,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Aston Villa
Mark Bunn,eng ENG,GK,32,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Aston Villa
Mitchell Clark,wls WAL,DF,18,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Aston Villa
Gary Gardner,eng ENG,MF,25,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Aston Villa
Leandro Bacuna,cw CUW,"DF,MF",25,1,1,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Aston Villa
Ross McCormack,sct SCO,"FW,MF",30,2,0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Aston Villa
Jordan Lyden,au AUS,MF,21,2,0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Aston Villa
Easah Suliman,pk PAK,DF,19,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Aston Villa
Corey Blackett-Taylor,eng ENG,"FW,MF",19,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Aston Villa
Matija Šarkić,me MNE,GK,20,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Aston Villa
Jordan Cox,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Aston Villa
Khalid Abdo,se SWE,MF,20,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Aston Villa
Oscar Borg,eng ENG,DF,19,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Aston Villa
Micah Richards,eng ENG,DF,29,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Aston Villa
