Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
José Ángel Alonso,es ESP,DF,28.0,1,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Mallorca
Fernando Cano,es ESP,MF,22.0,1,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Mallorca
Pierre Cornud,fr FRA,"DF,MF",20.0,1,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Mallorca
Miguel Núñez,es ESP,MF,30.0,1,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Mallorca
Miquel Parera,es ESP,GK,21.0,1,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Mallorca
Antonio Raillo,es ESP,DF,25.0,1,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Mallorca
Rufo,es ESP,"FW,MF",24.0,1,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Mallorca
Joan Sastre Vanrell,es ESP,DF,20.0,1,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Mallorca
Cedric Omoigui,ng NGA,FW,22.0,1,1,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Mallorca
Álex Serrano,es ESP,"FW,MF",22.0,1,1,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Mallorca
Pol Roigé,es ESP,FW,23.0,1,1,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Mallorca
Ferrán Giner Peris,es ESP,FW,28.0,1,0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Mallorca
Salva Sevilla,es ESP,MF,33.0,1,0,51.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Mallorca
Álex López,es ESP,FW,23.0,1,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Mallorca
Manolo Reina,es ESP,GK,32.0,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Mallorca
Bryan Reyna,pe PER,"FW,MF",18.0,0,0,,,,,,,,,,,,,,,,Matches,2017-2018,Mallorca
Squad Total,,,24.5,1,11,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-2018,Mallorca
Opponent Total,,,27.0,1,11,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2017-2018,Mallorca
