Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,
Cenk Tosun,tr TUR,FW,26,14,12,986.0,11.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.8,2.8,1.4,4.2,9.0,9.0,69.0,0.46,0.0,0.46,0.46,0.46,0.25,0.13,0.38,0.25,0.38,Matches,2017-2018,Everton
Aaron Lennon,eng ENG,"FW,MF",30,18,11,946.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,19.0,19.0,36.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,2017-2018,Everton
Yannick Bolasie,cd COD,FW,28,17,12,941.0,10.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,0.7,2.3,39.0,20.0,52.0,0.1,0.0,0.1,0.1,0.1,0.16,0.08,0.24,0.16,0.24,Matches,2017-2018,Everton
Davy Klaassen,nl NED,"MF,FW",24,13,7,586.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,1.1,2.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.04,0.15,0.19,0.04,0.19,Matches,2017-2018,Everton
Beni Baningime,cd COD,MF,18,12,5,558.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Everton
Sandro Ramírez,es ESP,"FW,MF",22,13,6,553.0,6.1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,1.4,4.0,14.0,51.0,0.16,0.16,0.33,0.16,0.33,0.19,0.08,0.26,0.19,0.26,Matches,2017-2018,Everton
Kevin Mirallas,be BEL,"FW,MF",29,10,6,477.0,5.3,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.2,1.2,0.4,1.6,17.0,13.0,34.0,0.0,0.38,0.38,0.0,0.38,0.28,0.1,0.38,0.28,0.38,Matches,2017-2018,Everton
Ademola Lookman,ng NGA,"FW,MF",19,13,3,458.0,5.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.2,1.2,0.6,1.8,24.0,11.0,23.0,0.39,0.0,0.39,0.39,0.39,0.29,0.13,0.42,0.29,0.42,Matches,2017-2018,Everton
Muhamed Bešić,ba BIH,MF,24,6,3,363.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,2017-2018,Everton
James McCarthy,ie IRL,MF,26,6,5,353.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,2017-2018,Everton
Joel Robles,es ESP,GK,27,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Everton
Maarten Stekelenburg,nl NED,GK,34,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Everton
Eliaquim Mangala,fr FRA,DF,26,2,2,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,2017-2018,Everton
Ramiro Funes Mori,ar ARG,DF,26,4,1,121.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,2017-2018,Everton
Morgan Feeney,eng ENG,DF,18,2,1,111.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,2017-2018,Everton
Harry Charsley,ie IRL,DF,20,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,2017-2018,Everton
Fraser Hornby,sct SCO,FW,17,1,1,82.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,2017-2018,Everton
Nathan Broadhead,wls WAL,FW,19,1,0,8.0,0.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,11.25,11.25,0.0,11.25,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Everton
Anthony Gordon,eng ENG,MF,16,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Everton
Alex Denny,eng ENG,DF,17,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Everton
Luke Garbutt,eng ENG,"DF,MF",24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Everton
Stephen Duke-McKenna,gy GUY,MF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Everton
Shayne Lavery,nir NIR,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Everton
Mateusz Hewelt,pl POL,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Everton
Michael Collins,eng ENG,DF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2017-2018,Everton
