Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Christopher Trimmel,at AUT,"DF,MF",30,34,34,3033.0,33.7,1.0,10.0,11.0,1.0,0.0,0.0,9.0,0.0,0.03,0.3,0.33,0.03,0.33,Matches,2017-2018,Union Berlin
Kristian Pedersen,dk DEN,"DF,MF",22,33,31,2768.0,30.8,1.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,0.03,0.13,0.16,0.03,0.16,Matches,2017-2018,Union Berlin
Simon Hedlund,se SWE,"MF,FW",24,33,31,2701.0,30.0,6.0,0.0,6.0,6.0,0.0,0.0,5.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,2017-2018,Union Berlin
Toni Leistner,de GER,DF,26,30,28,2598.0,28.9,1.0,1.0,2.0,1.0,0.0,0.0,4.0,2.0,0.03,0.03,0.07,0.03,0.07,Matches,2017-2018,Union Berlin
Steven Skrzybski,de GER,"FW,MF",24,31,25,2359.0,26.2,14.0,4.0,18.0,12.0,2.0,2.0,1.0,0.0,0.53,0.15,0.69,0.46,0.61,Matches,2017-2018,Union Berlin
Felix Kroos,de GER,MF,26,30,28,2324.0,25.8,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,2017-2018,Union Berlin
Sebastian Polter,de GER,FW,26,26,23,2156.0,24.0,12.0,4.0,16.0,9.0,3.0,4.0,5.0,0.0,0.5,0.17,0.67,0.38,0.54,Matches,2017-2018,Union Berlin
Marc Torrejón,es ESP,DF,31,25,24,2138.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Union Berlin
Jakob Busk,dk DEN,GK,23,20,20,1800.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Union Berlin
Grischa Prömel,de GER,MF,22,24,19,1743.0,19.4,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.05,0.1,0.15,0.05,0.15,Matches,2017-2018,Union Berlin
Marcel Hartel,de GER,MF,21,30,18,1718.0,19.1,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.1,0.1,0.21,0.1,0.21,Matches,2017-2018,Union Berlin
Daniel Mesenhöler,de GER,GK,22,16,16,1470.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2017-2018,Union Berlin
