Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0,Season,Team_Scraping
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,
Mickael Malsa,mq MTQ,MF,27,4,2,171.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Valladolid
Víctor Rofino,gw GNB,DF,21,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Valladolid
Iván Muñoz,es ESP,FW,18,2,1,78.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Valladolid
Adrian Baquerin,es ESP,FW,16,2,1,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Valladolid
Sergio León,es ESP,FW,34,3,0,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Valladolid
Manuel Pozo,es ESP,MF,21,1,1,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Valladolid
Selim Amallah,ma MAR,"FW,MF",26,1,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Valladolid
Chuky san jose,es ESP,FW,19,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Valladolid
Eugene Frimpong,gh GHA,MF,20,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Valladolid
Jorge Gonzalez,es ESP,DF,18,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023-2024,Valladolid
André Ferreira,pt POR,GK,27,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,Matches,2023-2024,Valladolid
Jesús Martínez,es ESP,MF,19,0,0,,,,,,,,,,,,,,,,Matches,2023-2024,Valladolid
Mario Maroto,es ESP,MF,19,0,0,,,,,,,,,,,,,,,,Matches,2023-2024,Valladolid
Álvaro Aceves,es ESP,GK,20,0,0,,,,,,,,,,,,,,,,Matches,2023-2024,Valladolid
Arnau Rafús,es ESP,GK,20,0,0,,,,,,,,,,,,,,,,Matches,2023-2024,Valladolid
Sergio Asenjo,es ESP,GK,34,0,0,,,,,,,,,,,,,,,,Matches,2023-2024,Valladolid
