Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time.1,Playing Time.2,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Expected,Expected.1,Expected.2,Expected.3,Progression,Progression.1,Progression.2,Per 90 Minutes,Per 90 Minutes.1,Per 90 Minutes.2,Per 90 Minutes.3,Per 90 Minutes.4,Per 90 Minutes.5,Per 90 Minutes.6,Per 90 Minutes.7,Per 90 Minutes.8,Per 90 Minutes.9,Unnamed: 33_level_0,Season,Team_Scraping,Playing Time.3
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,
Nordi Mukiele,fr FRA,DF,20,28,20,1728.0,19.2,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,2.0,2.5,46.0,94.0,70.0,0.05,0.05,0.1,0.05,0.1,0.03,0.11,0.14,0.03,0.14,Matches,2018-2019,RB Leipzig,
Stefan Ilsanker,at AUT,"MF,DF",29,29,17,1541.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,0.4,1.3,3.0,73.0,7.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.09,0.06,0.09,Matches,2018-2019,RB Leipzig,
Emil Forsberg,se SWE,"FW,MF",26,24,17,1508.0,16.8,6.0,7.0,13.0,3.0,3.0,3.0,0.0,0.0,4.8,2.5,4.5,7.0,40.0,84.0,95.0,0.36,0.42,0.78,0.18,0.6,0.35,0.33,0.67,0.18,0.5,Matches,2018-2019,RB Leipzig,
Matheus Cunha,br BRA,"FW,MF",19,33,16,1506.0,16.7,6.0,0.0,6.0,6.0,0.0,0.0,2.0,0.0,5.9,5.9,1.4,7.3,33.0,45.0,117.0,0.36,0.0,0.36,0.36,0.36,0.38,0.09,0.47,0.38,0.47,Matches,2018-2019,RB Leipzig,
Bruma,pt POR,"MF,FW",23,22,14,1187.0,13.2,2.0,3.0,5.0,2.0,0.0,1.0,3.0,0.0,2.0,1.2,2.6,3.8,50.0,75.0,88.0,0.15,0.23,0.38,0.15,0.38,0.17,0.22,0.39,0.1,0.32,Matches,2018-2019,RB Leipzig,
Jean-Kévin Augustin,fr FRA,FW,21,25,12,1016.0,11.3,6.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,4.1,4.1,1.0,5.2,24.0,8.0,94.0,0.53,0.0,0.53,0.53,0.53,0.42,0.1,0.53,0.42,0.53,Matches,2018-2019,RB Leipzig,
Marcelo Saracchi,uy URU,DF,20,15,11,973.0,10.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,1.3,1.4,33.0,53.0,67.0,0.0,0.09,0.09,0.0,0.09,0.01,0.13,0.14,0.01,0.14,Matches,2018-2019,RB Leipzig,
Tyler Adams,us USA,MF,19,12,10,875.0,9.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,1.1,19.0,64.0,12.0,0.0,0.21,0.21,0.0,0.21,0.01,0.13,0.13,0.01,0.13,Matches,2018-2019,RB Leipzig,
Yvon Mvogo,ch SUI,GK,24,8,7,675.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,RB Leipzig,
Amadou Haidara,ml MLI,MF,20,12,4,447.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,0.6,1.1,10.0,32.0,13.0,0.2,0.2,0.4,0.2,0.4,0.14,0.13,0.27,0.14,0.27,Matches,2018-2019,RB Leipzig,
Emile Smith Rowe,eng ENG,MF,18,3,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,1.47,0.0,1.47,Matches,2018-2019,RB Leipzig,
Erik Majetschak,de GER,MF,18,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,RB Leipzig,
Marius Müller,de GER,GK,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,RB Leipzig,
Tom Krauß,de GER,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,RB Leipzig,
Niclas Stierlin,de GER,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,RB Leipzig,
Massimo Bruno,be BEL,"FW,MF",24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2018-2019,RB Leipzig,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,
Unai Núñez,es ESP,DF,25,39,38,3451.0,38.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.2,1.2,0.1,1.3,31.0,146.0,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.03,0.04,Matches,2022-2023,Celta Vigo,
Javi Galán,es ESP,DF,27,40,38,3370.0,37.4,1.0,4.0,5.0,0.0,1.0,1.0,6.0,0.0,0.6,0.6,4.1,4.6,141.0,125.0,244.0,0.03,0.11,0.13,0.0,0.11,0.02,0.12,0.13,0.02,0.13,Matches,2022-2023,Celta Vigo,
Joseph Aidoo,gh GHA,DF,26,37,37,3329.0,37.0,4.0,0.0,4.0,4.0,0.0,0.0,7.0,1.0,1.0,1.0,0.1,1.1,15.0,95.0,2.0,0.11,0.0,0.11,0.11,0.11,0.03,0.0,0.03,0.03,0.03,Matches,2022-2023,Celta Vigo,
Fran Beltrán,es ESP,MF,23,39,35,3093.0,34.4,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.9,0.9,1.7,2.6,27.0,138.0,33.0,0.0,0.06,0.06,0.0,0.06,0.03,0.05,0.08,0.03,0.08,Matches,2022-2023,Celta Vigo,
Iago Aspas,es ESP,FW,34,39,31,2964.0,32.9,12.0,3.0,15.0,10.0,2.0,3.0,6.0,0.0,11.0,8.7,5.6,14.3,80.0,162.0,239.0,0.36,0.09,0.46,0.3,0.39,0.35,0.18,0.52,0.27,0.45,Matches,2022-2023,Celta Vigo,
Gabriel Veiga,es ESP,MF,20,39,30,2463.0,27.4,11.0,4.0,15.0,11.0,0.0,0.0,6.0,1.0,6.1,6.1,2.6,8.7,68.0,109.0,88.0,0.4,0.15,0.55,0.4,0.55,0.24,0.1,0.34,0.24,0.34,Matches,2022-2023,Celta Vigo,
Carles Pérez,es ESP,"MF,FW",24,38,26,2406.0,26.7,5.0,6.0,11.0,5.0,0.0,0.0,5.0,0.0,2.7,2.7,2.0,4.7,93.0,66.0,185.0,0.19,0.22,0.41,0.19,0.41,0.12,0.08,0.2,0.12,0.2,Matches,2022-2023,Celta Vigo,
Hugo Mallo,es ESP,DF,31,28,26,2242.0,24.9,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,1.4,1.4,2.6,3.9,27.0,93.0,108.0,0.0,0.04,0.04,0.0,0.04,0.06,0.11,0.16,0.06,0.16,Matches,2022-2023,Celta Vigo,
Franco Cervi,ar ARG,"MF,DF",28,39,23,2095.0,23.3,1.0,6.0,7.0,1.0,0.0,0.0,3.0,1.0,2.3,2.3,2.7,5.1,45.0,69.0,113.0,0.04,0.26,0.3,0.04,0.3,0.11,0.13,0.24,0.11,0.24,Matches,2022-2023,Celta Vigo,
Óscar Rodríguez Arnaiz,es ESP,MF,24,36,21,2002.0,22.2,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,3.6,3.6,2.2,5.9,29.0,118.0,37.0,0.13,0.04,0.18,0.13,0.18,0.18,0.11,0.3,0.18,0.3,Matches,2022-2023,Celta Vigo,
Jørgen Strand Larsen,no NOR,FW,22,35,21,1914.0,21.3,5.0,6.0,11.0,5.0,0.0,0.0,5.0,0.0,5.6,5.6,2.0,7.6,17.0,14.0,73.0,0.24,0.28,0.52,0.24,0.52,0.3,0.11,0.4,0.3,0.4,Matches,2022-2023,Celta Vigo,
Iván Villar,es ESP,GK,25,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Celta Vigo,
Agustín Marchesín,ar ARG,GK,34,20,20,1821.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Celta Vigo,
Luca de la Torre,us USA,MF,24,30,17,1605.0,17.8,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,1.1,1.1,1.3,2.4,55.0,62.0,73.0,0.06,0.11,0.17,0.06,0.17,0.06,0.08,0.15,0.06,0.15,Matches,2022-2023,Celta Vigo,
Renato Tapia,pe PER,"MF,DF",27,29,17,1496.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,1.1,2.0,12.0,68.0,8.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.13,0.06,0.13,Matches,2022-2023,Celta Vigo,
Óscar Mingueza,es ESP,DF,23,23,15,1429.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,1.4,1.7,24.0,69.0,40.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.12,0.03,0.12,Matches,2022-2023,Celta Vigo,
Haris Seferović,ch SUI,FW,30,18,10,887.0,9.9,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,1.8,1.8,0.5,2.3,12.0,17.0,44.0,0.3,0.1,0.41,0.3,0.41,0.19,0.05,0.24,0.19,0.24,Matches,2022-2023,Celta Vigo,
Gonçalo Paciência,pt POR,"FW,MF",27,28,8,845.0,9.4,3.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,1.9,1.9,0.6,2.5,7.0,11.0,43.0,0.32,0.0,0.32,0.32,0.32,0.26,0.08,0.33,0.26,0.33,Matches,2022-2023,Celta Vigo,
Kevin Vázquez,es ESP,"DF,MF",29,12,7,520.0,5.8,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,5.0,13.0,14.0,0.17,0.0,0.17,0.17,0.17,0.0,0.02,0.02,0.0,0.02,Matches,2022-2023,Celta Vigo,
Miguel Rodríguez,es ESP,"MF,FW",19,8,3,273.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,10.0,6.0,22.0,0.33,0.33,0.66,0.33,0.66,0.07,0.05,0.12,0.07,0.12,Matches,2022-2023,Celta Vigo,
Augusto Solari,ar ARG,MF,30,12,3,262.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,5.0,12.0,14.0,0.0,0.34,0.34,0.0,0.34,0.09,0.07,0.16,0.09,0.16,Matches,2022-2023,Celta Vigo,
Carlos Dominguez,es ESP,DF,21,4,2,198.0,2.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.45,0.45,0.0,0.45,0.02,0.0,0.02,0.02,0.02,Matches,2022-2023,Celta Vigo,
Williot Swedberg,se SWE,MF,18,7,1,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Celta Vigo,
Pablo Durán,es ESP,"MF,DF",21,5,1,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Celta Vigo,
Hugo Sotelo,es ESP,MF,18,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,2022-2023,Celta Vigo,
Fernando Medrano,es ESP,DF,22,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2022-2023,Celta Vigo,
Martín Conde,es ESP,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022-2023,Celta Vigo,
Hugo Álvarez,es ESP,"DF,MF",19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022-2023,Celta Vigo,
Coke Carrillo,es ESP,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022-2023,Celta Vigo,
Francisco Lopez,es ESP,FW,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022-2023,Celta Vigo,
Ruly,es ESP,GK,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022-2023,Celta Vigo,
Barcia,es ESP,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022-2023,Celta Vigo,
Javier Dominguez,es ESP,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022-2023,Celta Vigo,
Christian Joel,cu CUB,GK,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022-2023,Celta Vigo,
Miguel Baeza,es ESP,MF,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022-2023,Celta Vigo,
Diego Alves,br BRA,GK,37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2022-2023,Celta Vigo,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,
Loïs Openda,be BEL,FW,25-099,45,40,3492.0,38.8,13.0,7.0,20.0,13.0,0.0,1.0,6.0,1.0,11.5,10.7,4.7,15.4,69.0,56.0,273.0,0.34,0.18,0.52,0.34,0.52,0.33,0.13,0.46,0.31,0.44,Matches,2024-2025,RB Leipzig,
Willi Orban,hu HUN,DF,32-204,38,38,3392.0,37.7,5.0,1.0,6.0,5.0,0.0,0.0,5.0,2.0,4.6,4.6,1.0,5.6,18.0,124.0,11.0,0.13,0.03,0.16,0.13,0.16,0.14,0.03,0.17,0.14,0.17,Matches,2024-2025,RB Leipzig,
Péter Gulácsi,hu HUN,GK,35-020,37,37,3261.0,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,RB Leipzig,
Benjamin Šeško,si SVN,FW,21-360,45,40,3237.0,36.0,21.0,6.0,27.0,17.0,4.0,4.0,3.0,1.0,13.6,11.2,2.1,13.3,54.0,50.0,163.0,0.58,0.17,0.75,0.47,0.64,0.42,0.07,0.49,0.35,0.41,Matches,2024-2025,RB Leipzig,
Nicolas Seiwald,at AUT,"MF,DF",24-022,41,27,2761.0,30.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,3.1,3.3,18.0,158.0,33.0,0.0,0.03,0.03,0.0,0.03,0.01,0.11,0.12,0.01,0.12,Matches,2024-2025,RB Leipzig,
Xavi Simons,nl NED,MF,22-035,33,32,2752.0,30.6,11.0,7.0,18.0,11.0,0.0,0.0,6.0,0.0,5.9,5.9,7.0,12.9,97.0,160.0,210.0,0.36,0.23,0.59,0.36,0.59,0.21,0.25,0.47,0.21,0.47,Matches,2024-2025,RB Leipzig,
Lutsharel Geertruida,nl NED,DF,24-312,35,27,2443.0,27.1,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.2,1.2,2.0,3.2,25.0,116.0,50.0,0.04,0.04,0.07,0.04,0.07,0.05,0.08,0.13,0.05,0.13,Matches,2024-2025,RB Leipzig,
David Raum,de GER,DF,27-034,29,27,2294.0,25.5,1.0,6.0,7.0,1.0,0.0,0.0,8.0,0.0,0.5,0.5,8.3,8.8,40.0,75.0,149.0,0.04,0.24,0.27,0.04,0.27,0.02,0.36,0.39,0.02,0.39,Matches,2024-2025,RB Leipzig,
Christoph Baumgartner,at AUT,"MF,FW",25-298,43,26,2270.0,25.2,5.0,2.0,7.0,5.0,0.0,0.0,7.0,0.0,6.5,6.5,1.7,8.2,43.0,63.0,121.0,0.2,0.08,0.28,0.2,0.28,0.28,0.07,0.36,0.28,0.36,Matches,2024-2025,RB Leipzig,
Arthur Vermeeren,be BEL,MF,20-108,39,26,2246.0,25.0,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,0.9,1.3,17.0,96.0,24.0,0.0,0.08,0.08,0.0,0.08,0.02,0.04,0.06,0.02,0.06,Matches,2024-2025,RB Leipzig,
Antonio Nusa,no NOR,"MF,DF",20-039,36,23,2189.0,24.3,5.0,6.0,11.0,5.0,0.0,0.0,0.0,0.0,2.3,2.3,3.5,5.7,79.0,71.0,162.0,0.21,0.25,0.45,0.21,0.45,0.1,0.15,0.25,0.1,0.25,Matches,2024-2025,RB Leipzig,
Kevin Kampl,si SVN,MF,34-229,34,23,2108.0,23.4,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.9,0.9,1.8,2.6,25.0,120.0,37.0,0.04,0.0,0.04,0.04,0.04,0.04,0.08,0.13,0.04,0.13,Matches,2024-2025,RB Leipzig,
Amadou Haidara,ml MLI,MF,27-115,40,26,2098.0,23.3,0.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,1.6,1.6,1.4,2.9,10.0,92.0,31.0,0.0,0.09,0.09,0.0,0.09,0.07,0.06,0.14,0.07,0.14,Matches,2024-2025,RB Leipzig,
Lukas Klostermann,de GER,DF,28-357,35,22,2044.0,22.7,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.3,0.3,0.1,0.4,17.0,86.0,26.0,0.04,0.0,0.04,0.04,0.04,0.02,0.01,0.02,0.02,0.02,Matches,2024-2025,RB Leipzig,
Castello Lukeba,fr FRA,DF,22-160,31,22,2020.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,0.2,0.7,25.0,99.0,25.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,2024-2025,RB Leipzig,
El Chadaille Bitshiabu,fr FRA,DF,20-010,28,19,1629.0,18.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.3,0.3,0.4,0.7,5.0,79.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04,Matches,2024-2025,RB Leipzig,
Benjamin Henrichs,de GER,"DF,MF",28-092,24,17,1615.0,17.9,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.8,0.8,1.5,2.3,15.0,50.0,69.0,0.0,0.11,0.11,0.0,0.11,0.05,0.1,0.15,0.05,0.15,Matches,2024-2025,RB Leipzig,
Ridle Baku,de GER,"DF,MF",27-048,21,17,1444.0,16.0,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,1.4,1.4,1.5,2.9,21.0,41.0,97.0,0.12,0.19,0.31,0.12,0.31,0.1,0.11,0.2,0.1,0.2,Matches,2024-2025,RB Leipzig,
Maarten Vandevoordt,be BEL,GK,23-089,12,10,969.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,RB Leipzig,
Yussuf Poulsen,dk DEN,"FW,MF",30-345,29,4,623.0,6.9,5.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,4.7,4.7,0.9,5.5,2.0,17.0,36.0,0.72,0.0,0.72,0.72,0.72,0.79,0.15,0.93,0.79,0.93,Matches,2024-2025,RB Leipzig,
Kosta Nedeljković,rs SRB,DF,19-161,11,7,548.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.3,0.7,10.0,16.0,27.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.14,0.09,0.14,Matches,2024-2025,RB Leipzig,
André Silva,pt POR,FW,29-201,15,2,316.0,3.5,1.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,1.5,0.7,0.6,1.3,7.0,5.0,14.0,0.28,0.85,1.14,0.0,0.85,0.62,0.23,0.85,0.29,0.52,Matches,2024-2025,RB Leipzig,
Xaver Schlager,at AUT,MF,27-240,5,2,201.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.7,0.8,5.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.35,0.38,0.03,0.38,Matches,2024-2025,RB Leipzig,
Tidiam Gomis,fr FRA,"MF,FW",18-291,9,1,163.0,1.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.9,1.2,5.0,3.0,14.0,0.0,0.55,0.55,0.0,0.55,0.15,0.55,0.7,0.15,0.7,Matches,2024-2025,RB Leipzig,
Mohamed Simakan,fr FRA,DF,25-023,2,2,144.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,3.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.0,0.46,Matches,2024-2025,RB Leipzig,
Elif Elmas,mk MKD,MF,25-244,6,0,95.0,1.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,0.0,5.0,3.0,0.0,0.95,0.95,0.0,0.95,0.38,0.1,0.49,0.38,0.49,Matches,2024-2025,RB Leipzig,
