MatchProfileID,Competition,Round
1013,Serie A,Matchweek 18
1014,Serie A,Matchweek 19
1015,Serie A,Matchweek 2
1016,Serie A,Matchweek 20
1017,Serie A,Matchweek 21
1018,Serie A,Matchweek 22
1019,Serie A,Matchweek 23
1020,Serie A,Matchweek 24
1021,Serie A,Matchweek 25
1022,Serie A,Matchweek 26
1023,Serie A,Matchweek 27
1024,Serie A,Matchweek 28
1025,Serie A,Matchweek 29
1026,Serie A,Matchweek 3
1027,Serie A,Matchweek 30
1028,Serie A,Matchweek 31
1029,Serie A,Matchweek 32
1030,Serie A,Matchweek 33
1031,Serie A,Matchweek 34
1032,Serie A,Matchweek 35
1033,Serie A,Matchweek 36
1034,Serie A,Matchweek 37
1035,Serie A,Matchweek 38
1036,Serie A,Matchweek 4
1037,Serie A,Matchweek 5
1038,Serie A,Matchweek 6
1039,Serie A,Matchweek 7
1040,Serie A,Matchweek 8
1041,Serie A,Matchweek 9
1042,Serie A,Relegation tie-breaker
1043,Serie B,Finals
1044,Serie B,Matchweek 1
1045,Serie B,Matchweek 10
1046,Serie B,Matchweek 11
1047,Serie B,Matchweek 12
1048,Serie B,Matchweek 13
1049,Serie B,Matchweek 14
1050,Serie B,Matchweek 15
1051,Serie B,Matchweek 16
1052,Serie B,Matchweek 17
1053,Serie B,Matchweek 18
1054,Serie B,Matchweek 19
1055,Serie B,Matchweek 2
1056,Serie B,Matchweek 20
1057,Serie B,Matchweek 21
1058,Serie B,Matchweek 22
1059,Serie B,Matchweek 23
1060,Serie B,Matchweek 24
1061,Serie B,Matchweek 25
1062,Serie B,Matchweek 26
1063,Serie B,Matchweek 27
1064,Serie B,Matchweek 28
1065,Serie B,Matchweek 29
1066,Serie B,Matchweek 3
1067,Serie B,Matchweek 30
1068,Serie B,Matchweek 31
1069,Serie B,Matchweek 32
1070,Serie B,Matchweek 33
1071,Serie B,Matchweek 34
1072,Serie B,Matchweek 35
1073,Serie B,Matchweek 36
1074,Serie B,Matchweek 37
1075,Serie B,Matchweek 38
1076,Serie B,Matchweek 39
1077,Serie B,Matchweek 4
1078,Serie B,Matchweek 40
1079,Serie B,Matchweek 41
1080,Serie B,Matchweek 42
1081,Serie B,Matchweek 5
1082,Serie B,Matchweek 6
1083,Serie B,Matchweek 7
1084,Serie B,Matchweek 8
1085,Serie B,Matchweek 9
1086,Serie B,Preliminary round
1087,Serie B,Relegation play-out
1088,Serie B,Semi-finals
1089,Super Cup,UEFA Super Cup
1090,Supercopa de Espana,Final
1091,Supercopa de Espana,Semi-finals
1092,Supercopa de Espana,Supercopa de Espana
1093,Supercoppa,Final
1094,Supercoppa,Semi-finals
1095,Supercoppa,Supercoppa Italiana
1096,Trophée des Champions,Trophée des Champions
