MatchStatID,ClubID,OpponentClubID,SeasonID,CapitainPlayerID,DateID,MatchProfileID,Venue,GoalsFor,GoalsAgainst,Result,ExpectedGoals,ExpectedGoalsAllowed,Possession,Attendance,Formation,OpponentFormation,Referee
2135,300,196,2019/20,37327,2020-02-21,775,Away,3.0,3.0,Draw,0.899999976158142,3.29999995231628,31.0,47231.0,4-2-3-1,4-2-3-1,Jesús Gil
2136,288,196,2018/19,33470,2018-12-09,764,Away,0.0,2.0,Lost,1.20000004768372,1.70000004768372,39.0,40218.0,4-1-2-1-2?,3-5-2,Juan Martínez
2137,271,196,2017/18,34734,2018-03-04,777,Home,2.0,0.0,Won,1.29999995231628,0.400000005960464,41.0,35565.0,4-4-2,3-4-3,Alejandro Hernández
2138,190,196,2022/23,38304,2022-12-29,764,Away,0.0,0.0,Draw,0.400000005960464,0.5,47.0,53565.0,4-2-3-1,4-2-3-1,Alejandro Hernández
2139,230,196,2017/18,36419,2018-05-19,789,Home,3.0,2.0,Won,1.39999997615814,2.20000004768372,31.0,10813.0,4-2-3-1,4-4-2,Jesús Gil
2140,255,196,2021/22,36713,2022-05-20,789,Home,0.0,0.0,Draw,1.20000004768372,0.899999976158142,52.0,52232.0,4-3-3,4-2-3-1,Santiago Jaime
2141,271,196,2019/20,34734,2020-02-29,776,Home,2.0,1.0,Won,1.0,1.0,36.0,37418.0,4-4-2,4-1-4-1,Adrián Cordero
2142,191,196,2018/19,33966,2019-02-03,772,Away,0.0,1.0,Lost,0.699999988079071,1.0,46.0,50864.0,4-4-2,3-5-2,David Medié
2143,321,196,2021/22,37327,2021-08-14,758,Home,1.0,1.0,Draw,0.5,0.600000023841858,35.0,6279.0,4-3-3,4-2-3-1,Antonio Matéu Lahoz
2144,261,196,2022/23,36036,2022-11-06,762,Away,1.0,1.0,Draw,1.5,1.0,63.0,54034.0,4-2-3-1,4-2-3-1,José Sánchez
2145,271,196,2021/22,36532,2021-10-27,760,Away,1.0,4.0,Lost,1.60000002384186,2.0,40.0,43123.0,4-4-2,4-2-3-1,Isidro Díaz de Mera
2146,194,196,2024/25,38781,2025-04-05,781,Home,1.0,1.0,Draw,1.39999997615814,0.300000011920929,73.0,47043.0,4-3-3,4-2-3-1,Jesús Gil
2147,321,196,2023/24,34002,2023-11-04,761,Away,0.0,2.0,Lost,0.600000023841858,2.20000004768372,43.0,50909.0,5-3-2,4-2-3-1,Miguel Ángel Ortiz Arias
2148,261,196,2020/21,36318,2021-03-14,777,Home,1.0,0.0,Won,0.600000023841858,0.699999988079071,53.0,-1.0,4-3-3,4-4-1-1,Antonio Matéu Lahoz
2149,290,196,2020/21,36203,2020-09-20,769,Away,0.0,2.0,Lost,0.400000005960464,1.60000002384186,44.0,-1.0,4-2-3-1,4-2-3-1,Santiago Jaime
2150,194,196,2022/23,39022,2023-01-12,1091,Away,2.0,2.0,Draw,-1.0,-1.0,61.0,38629.0,4-3-3,4-2-3-1,Carlos del Cerro
2151,204,196,2021/22,35874,2022-03-20,779,Home,0.0,0.0,Draw,0.899999976158142,0.5,52.0,13149.0,4-1-3-2,4-2-3-1,Ricardo de Burgos
2152,261,196,2021/22,36036,2021-11-07,762,Away,2.0,0.0,Won,1.70000004768372,0.300000011920929,74.0,50534.0,4-3-3,4-2-3-1,Antonio Matéu Lahoz
2153,367,196,2024/25,36206,2025-04-24,784,Away,1.0,5.0,Lost,0.899999976158142,1.89999997615814,31.0,46458.0,4-1-4-1,4-2-3-1,Francisco Hernández
2154,191,196,2019/20,36872,2020-07-11,787,Home,1.0,0.0,Won,0.699999988079071,1.10000002384186,38.0,-1.0,4-4-2,4-2-3-1,José González
2155,204,196,2019/20,35881,2020-07-04,785,Home,1.0,1.0,Draw,0.200000002980232,0.600000023841858,45.0,-1.0,4-1-4-1,4-2-3-1,Pablo González
2156,301,196,2019/20,38716,2020-07-08,786,Away,0.0,3.0,Lost,0.400000005960464,1.79999995231628,44.0,-1.0,4-5-1,4-4-2,Alejandro Hernández
2157,271,196,2023/24,39318,2024-04-20,783,Home,1.0,2.0,Lost,1.10000002384186,1.29999995231628,54.0,46371.0,4-4-2,4-2-3-1,Mateo Busquets
2158,194,196,2017/18,37054,2018-01-21,770,Away,5.0,0.0,Won,2.09999990463257,0.400000005960464,52.0,53426.0,4-4-2,3-4-1-2,Santiago Jaime
2159,319,196,2021/22,34951,2021-09-19,791,Away,2.0,2.0,Draw,1.10000002384186,1.89999997615814,41.0,30189.0,4-1-4-1,4-2-3-1,César Soto
2160,301,196,2023/24,39041,2024-05-05,785,Home,0.0,2.0,Lost,0.800000011920929,1.10000002384186,42.0,18300.0,4-5-1,4-2-3-1,Víctor García
2161,271,196,2021/22,34436,2022-05-10,787,Home,0.0,3.0,Lost,1.20000004768372,1.60000002384186,45.0,28091.0,5-3-2,4-2-3-1,Carlos del Cerro
